Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s),Precipitation (mm/h),Reference ET₀ (mm),Dew Point (°C),Pressure (hPa),Cloud Cover (%),Snowfall (mm/h),Wind Direction (°),Solar Irradiance (GHI) (W/m2),VPD (kPa),Delta T (°C)
2026-06-28T00:00:00,25.70,42.00,2.70,0.00,0.09,11.80,1018.00,0.00,0.00,360.00,0.00,1.91,8.40
2026-06-28T01:00:00,25.20,46.00,2.41,0.00,0.07,12.80,1017.80,0.00,0.00,355.00,0.00,1.73,7.60
2026-06-28T02:00:00,24.90,47.00,2.50,0.00,0.07,12.80,1017.80,20.00,0.00,2.00,0.00,1.67,7.50
2026-06-28T03:00:00,25.00,49.00,3.95,0.00,0.11,13.60,1017.50,28.00,0.00,9.00,0.00,1.62,7.10
2026-06-28T04:00:00,24.80,51.00,3.96,0.00,0.10,14.00,1017.40,23.00,0.00,10.00,0.00,1.54,6.80
2026-06-28T05:00:00,24.20,55.00,3.30,0.00,0.07,14.60,1017.10,4.00,0.00,14.00,0.00,1.36,6.20
2026-06-28T06:00:00,23.90,54.00,3.54,0.00,0.08,14.10,1017.20,0.00,0.00,8.00,0.00,1.37,6.20
2026-06-28T07:00:00,24.10,50.00,4.59,0.00,0.13,13.00,1017.30,0.00,0.00,16.00,28.00,1.50,6.90
2026-06-28T08:00:00,24.80,48.00,5.77,0.00,0.22,13.00,1017.50,0.00,0.00,26.00,167.00,1.63,7.30
2026-06-28T09:00:00,25.90,45.00,7.03,0.00,0.35,13.10,1017.20,0.00,0.00,24.00,357.00,1.84,7.90
2026-06-28T10:00:00,27.10,41.00,6.89,0.00,0.48,12.70,1017.20,0.00,0.00,26.00,551.00,2.11,8.80
2026-06-28T11:00:00,28.50,35.00,7.12,0.00,0.61,11.50,1017.00,0.00,0.00,20.00,725.00,2.53,10.20
2026-06-28T12:00:00,29.10,32.00,7.78,0.00,0.71,10.70,1017.00,0.00,0.00,18.00,862.00,2.74,11.00
2026-06-28T13:00:00,29.70,31.00,8.08,0.00,0.78,10.80,1016.90,0.00,0.00,22.00,951.00,2.88,11.30
2026-06-28T14:00:00,30.20,30.00,8.32,0.00,0.81,10.70,1016.90,0.00,0.00,26.00,981.00,3.00,11.70
2026-06-28T15:00:00,30.30,26.00,8.28,0.00,0.82,8.60,1016.40,0.00,0.00,28.00,955.00,3.19,12.70
2026-06-28T16:00:00,30.30,23.00,7.93,0.00,0.78,6.90,1016.30,0.00,0.00,29.00,873.00,3.33,13.40
2026-06-28T17:00:00,29.80,23.00,7.44,0.00,0.69,6.50,1016.20,0.00,0.00,31.00,740.00,3.24,13.20
2026-06-28T18:00:00,29.20,24.00,7.03,0.00,0.57,6.60,1016.10,0.00,0.00,30.00,566.00,3.09,12.80
2026-06-28T19:00:00,28.30,24.00,6.05,0.00,0.43,5.80,1016.20,0.00,0.00,31.00,370.00,2.92,12.60
2026-06-28T20:00:00,26.90,25.00,4.98,0.00,0.28,5.20,1016.20,0.00,0.00,38.00,177.00,2.66,12.00
2026-06-28T21:00:00,25.20,30.00,3.83,0.00,0.16,6.40,1016.60,0.00,0.00,33.00,32.00,2.24,10.50
2026-06-28T22:00:00,24.00,34.00,2.60,0.00,0.09,7.20,1017.00,0.00,0.00,23.00,0.00,1.97,9.40
2026-06-28T23:00:00,22.90,40.00,1.70,0.00,0.05,8.60,1017.70,0.00,0.00,360.00,0.00,1.67,8.20
2026-06-29T00:00:00,22.30,42.00,2.02,0.00,0.06,8.80,1017.60,0.00,0.00,340.00,0.00,1.57,7.80
2026-06-29T01:00:00,22.20,40.00,2.15,0.00,0.06,8.00,1017.40,0.00,0.00,332.00,0.00,1.61,8.10
2026-06-29T02:00:00,22.20,44.00,2.06,0.00,0.06,9.30,1016.80,0.00,0.00,337.00,0.00,1.50,7.50
2026-06-29T03:00:00,22.40,48.00,2.73,0.00,0.07,10.90,1016.50,0.00,0.00,352.00,0.00,1.41,6.90
2026-06-29T04:00:00,22.20,52.00,2.45,0.00,0.06,11.90,1016.10,0.00,0.00,348.00,0.00,1.29,6.30
2026-06-29T05:00:00,22.00,53.00,2.52,0.00,0.06,12.00,1015.90,0.00,0.00,353.00,0.00,1.24,6.20
2026-06-29T06:00:00,22.20,50.00,2.73,0.00,0.07,11.30,1015.50,0.00,0.00,352.00,0.00,1.34,6.60
2026-06-29T07:00:00,22.70,48.00,2.82,0.00,0.08,11.20,1015.40,0.00,0.00,354.00,28.00,1.44,6.90
2026-06-29T08:00:00,24.70,39.00,3.72,0.00,0.20,9.80,1015.60,0.00,0.00,6.00,165.00,1.90,8.70
2026-06-29T09:00:00,26.30,37.00,5.77,0.00,0.36,10.50,1015.50,0.00,0.00,14.00,354.00,2.16,9.40
2026-06-29T10:00:00,27.30,36.00,6.36,0.00,0.49,10.90,1015.60,0.00,0.00,19.00,546.00,2.32,9.80
2026-06-29T11:00:00,28.40,35.00,6.41,0.00,0.60,11.50,1015.90,0.00,0.00,23.00,717.00,2.52,10.20
2026-06-29T12:00:00,29.50,32.00,6.26,0.00,0.70,11.10,1015.90,0.00,0.00,25.00,850.00,2.81,11.10
2026-06-29T13:00:00,30.60,30.00,6.40,0.00,0.78,11.10,1015.50,0.00,0.00,25.00,936.00,3.08,11.80
2026-06-29T14:00:00,31.40,28.00,6.66,0.00,0.82,10.70,1015.30,0.00,0.00,26.00,969.00,3.31,12.40
2026-06-29T15:00:00,31.70,28.00,6.54,0.00,0.81,11.00,1014.90,0.00,0.00,23.00,943.00,3.37,12.50
2026-06-29T16:00:00,31.90,28.00,6.49,0.00,0.76,11.20,1014.70,0.00,0.00,25.00,859.00,3.41,12.60
2026-06-29T17:00:00,31.70,29.00,6.26,0.00,0.67,11.50,1014.00,0.00,0.00,25.00,725.00,3.31,12.30
2026-06-29T18:00:00,31.00,30.00,5.89,0.00,0.55,11.40,1014.00,0.00,0.00,21.00,555.00,3.15,11.90
2026-06-29T19:00:00,30.20,31.00,5.41,0.00,0.41,11.20,1014.20,0.00,0.00,19.00,363.00,2.97,11.40
2026-06-29T20:00:00,29.00,34.00,4.46,0.00,0.26,11.50,1014.20,0.00,0.00,20.00,174.00,2.64,10.60
2026-06-29T21:00:00,27.30,39.00,3.26,0.00,0.13,12.20,1014.60,0.00,0.00,18.00,32.00,2.22,9.20
2026-06-29T22:00:00,26.00,44.00,2.16,0.00,0.07,12.80,1015.10,0.00,0.00,13.00,0.00,1.88,8.10
2026-06-29T23:00:00,24.70,48.00,1.53,0.00,0.04,13.00,1015.30,0.00,0.00,349.00,0.00,1.62,7.20
2026-06-30T00:00:00,24.00,48.00,1.56,0.00,0.04,12.30,1015.30,0.00,0.00,315.00,0.00,1.55,7.20
2026-06-30T01:00:00,23.30,50.00,1.61,0.00,0.04,12.30,1015.20,0.00,0.00,300.00,0.00,1.43,6.70
2026-06-30T02:00:00,22.70,53.00,1.52,0.00,0.03,12.70,1015.20,0.00,0.00,293.00,0.00,1.30,6.20
2026-06-30T03:00:00,23.10,56.00,1.86,0.00,0.04,13.80,1014.40,0.00,0.00,306.00,0.00,1.24,5.90
2026-06-30T04:00:00,23.30,56.00,1.63,0.00,0.03,14.00,1014.20,0.00,0.00,313.00,0.00,1.26,5.90
2026-06-30T05:00:00,23.40,55.00,1.41,0.00,0.03,13.90,1013.70,0.00,0.00,315.00,0.00,1.30,6.00
2026-06-30T06:00:00,23.70,53.00,1.75,0.00,0.04,13.60,1013.70,2.00,0.00,336.00,0.00,1.38,6.30
2026-06-30T07:00:00,24.50,51.00,1.96,0.00,0.06,13.70,1013.70,10.00,0.00,345.00,26.00,1.50,6.80
2026-06-30T08:00:00,26.70,44.00,2.11,0.00,0.15,13.50,1013.70,18.00,0.00,355.00,159.00,1.96,8.20
2026-06-30T09:00:00,28.90,39.00,5.23,0.00,0.36,13.50,1013.40,1.00,0.00,7.00,347.00,2.43,9.60
2026-06-30T10:00:00,30.00,38.00,6.36,0.00,0.51,14.10,1013.40,1.00,0.00,13.00,541.00,2.63,10.00
2026-06-30T11:00:00,30.80,36.00,6.91,0.00,0.64,14.00,1013.30,8.00,0.00,22.00,712.00,2.85,10.50
2026-06-30T12:00:00,31.60,35.00,7.20,0.00,0.73,14.30,1013.40,23.00,0.00,25.00,844.00,3.03,10.90
2026-06-30T13:00:00,32.30,33.00,7.24,0.00,0.80,14.00,1013.20,26.00,0.00,26.00,921.00,3.24,11.50
2026-06-30T14:00:00,32.80,32.00,6.71,0.00,0.78,13.90,1013.00,44.00,0.00,28.00,880.00,3.38,11.90
2026-06-30T15:00:00,33.00,31.00,7.05,0.00,0.80,13.60,1012.10,7.00,0.00,35.00,895.00,3.47,12.10
2026-06-30T16:00:00,33.00,30.00,6.91,0.00,0.78,13.20,1011.80,4.00,0.00,34.00,862.00,3.53,12.30
2026-06-30T17:00:00,32.70,30.00,6.72,0.00,0.69,12.80,1011.20,2.00,0.00,37.00,726.00,3.46,12.30
2026-06-30T18:00:00,32.20,31.00,5.30,0.00,0.54,13.00,1011.20,0.00,0.00,36.00,552.00,3.32,11.90
2026-06-30T19:00:00,31.40,32.00,4.33,0.00,0.39,12.80,1010.90,4.00,0.00,34.00,362.00,3.13,11.50
2026-06-30T20:00:00,30.40,34.00,3.58,0.00,0.24,12.80,1011.40,22.00,0.00,30.00,172.00,2.86,10.90
2026-06-30T21:00:00,28.30,37.00,1.34,0.00,0.06,12.20,1011.10,18.00,0.00,27.00,31.00,2.43,9.80
2026-06-30T22:00:00,26.70,45.00,0.86,0.00,0.02,13.80,1011.80,12.00,0.00,306.00,0.00,1.92,8.10
2026-06-30T23:00:00,24.40,55.00,1.49,0.00,0.03,14.80,1012.20,15.00,0.00,290.00,0.00,1.37,6.20
2026-07-01T00:00:00,23.50,56.00,1.62,0.00,0.03,14.20,1012.50,9.00,0.00,292.00,0.00,1.28,5.90
2026-07-01T01:00:00,23.00,59.00,1.61,0.00,0.03,14.50,1012.50,4.00,0.00,300.00,0.00,1.15,5.50
2026-07-01T02:00:00,22.40,58.00,1.61,0.00,0.03,13.70,1012.50,0.00,0.00,300.00,0.00,1.14,5.50
2026-07-01T03:00:00,21.50,54.00,1.53,0.00,0.03,11.80,1012.40,0.00,0.00,302.00,0.00,1.18,5.90
2026-07-01T04:00:00,20.90,49.00,1.66,0.00,0.04,9.80,1011.80,0.00,0.00,303.00,0.00,1.26,6.50
2026-07-01T05:00:00,20.40,47.00,1.66,0.00,0.04,8.70,1011.60,0.00,0.00,295.00,0.00,1.27,6.80
2026-07-01T06:00:00,19.60,46.00,1.79,0.00,0.04,7.60,1011.80,0.00,0.00,297.00,0.00,1.23,6.80
2026-07-01T07:00:00,20.00,43.00,1.66,0.00,0.05,7.10,1012.10,0.00,0.00,295.00,26.00,1.34,7.20
2026-07-01T08:00:00,22.80,48.00,1.30,0.00,0.11,11.20,1012.00,0.00,0.00,293.00,161.00,1.44,7.00
2026-07-01T09:00:00,27.20,33.00,0.81,0.00,0.23,9.60,1011.30,0.00,0.00,30.00,348.00,2.42,10.30
2026-07-01T10:00:00,29.20,32.00,2.62,0.00,0.43,10.80,1011.10,0.00,0.00,47.00,542.00,2.75,11.00
2026-07-01T11:00:00,30.50,33.00,3.80,0.00,0.59,12.40,1011.10,0.00,0.00,35.00,713.00,2.92,11.10
2026-07-01T12:00:00,31.40,31.00,3.82,0.00,0.69,12.30,1010.60,0.00,0.00,43.00,849.00,3.18,11.70
2026-07-01T13:00:00,32.30,27.00,4.32,0.00,0.77,10.90,1010.80,3.00,0.00,42.00,932.00,3.53,12.90
2026-07-01T14:00:00,33.20,25.00,4.47,0.00,0.81,10.60,1010.30,2.00,0.00,40.00,959.00,3.82,13.70
2026-07-01T15:00:00,33.60,24.00,4.27,0.00,0.80,10.20,1009.60,0.00,0.00,33.00,931.00,3.95,14.10
2026-07-01T16:00:00,33.80,24.00,2.36,0.00,0.68,10.40,1009.50,34.00,0.00,36.00,827.00,3.99,14.20
2026-07-01T17:00:00,33.00,26.00,3.47,0.00,0.56,10.90,1009.10,67.00,0.00,168.00,615.00,3.72,13.40
2026-07-01T18:00:00,32.00,26.00,3.64,0.00,0.36,10.10,1008.60,70.00,0.00,212.00,266.00,3.51,13.10
2026-07-01T19:00:00,31.00,40.00,2.90,0.00,0.26,15.80,1008.90,44.00,0.00,224.00,229.00,2.69,9.80
2026-07-01T20:00:00,30.10,44.00,2.42,0.00,0.18,16.50,1009.20,0.00,0.00,240.00,152.00,2.39,8.80
2026-07-01T21:00:00,28.30,51.00,0.98,0.00,0.04,17.20,1009.20,13.00,0.00,204.00,30.00,1.89,7.30
2026-07-01T22:00:00,26.30,61.00,0.78,0.00,0.01,18.20,1009.60,0.00,0.00,220.00,0.00,1.33,5.50
