Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s),Precipitation (mm/h),Reference ET₀ (mm),Dew Point (°C),Pressure (hPa),Cloud Cover (%),Snowfall (mm/h),Wind Direction (°),Solar Irradiance (GHI) (W/m2),VPD (kPa),Delta T (°C)
2026-07-28T00:00:00,24.20,68.00,1.22,0.00,0.01,17.90,1015.30,0.00,0.00,305.00,0.00,0.96,4.30
2026-07-28T01:00:00,23.80,69.00,1.42,0.00,0.01,17.80,1015.50,0.00,0.00,309.00,0.00,0.92,4.10
2026-07-28T02:00:00,23.50,66.00,1.41,0.00,0.01,16.80,1015.30,0.00,0.00,315.00,0.00,0.99,4.50
2026-07-28T03:00:00,23.10,61.00,1.42,0.00,0.02,15.20,1015.00,0.00,0.00,321.00,0.00,1.10,5.20
2026-07-28T04:00:00,22.70,58.00,1.58,0.00,0.03,14.00,1015.10,0.00,0.00,325.00,0.00,1.16,5.50
2026-07-28T05:00:00,22.30,57.00,1.50,0.00,0.02,13.40,1014.80,0.00,0.00,323.00,0.00,1.16,5.60
2026-07-28T06:00:00,22.00,59.00,1.43,0.00,0.02,13.60,1015.50,0.00,0.00,335.00,0.00,1.09,5.30
2026-07-28T07:00:00,22.20,63.00,1.64,0.00,0.03,14.80,1016.10,0.00,0.00,322.00,8.00,0.99,4.80
2026-07-28T08:00:00,23.80,66.00,1.36,0.00,0.08,17.00,1016.60,0.00,0.00,324.00,108.00,1.00,4.60
2026-07-28T09:00:00,27.20,58.00,0.82,0.00,0.19,18.20,1016.40,0.00,0.00,14.00,283.00,1.51,6.00
2026-07-28T10:00:00,29.80,46.00,1.56,0.00,0.36,16.90,1016.50,0.00,0.00,40.00,475.00,2.26,8.40
2026-07-28T11:00:00,32.30,36.00,3.22,0.00,0.55,15.40,1016.60,0.00,0.00,36.00,654.00,3.10,10.80
2026-07-28T12:00:00,33.60,34.00,5.11,0.00,0.71,15.60,1016.60,0.00,0.00,40.00,796.00,3.43,11.60
2026-07-28T13:00:00,34.50,28.00,5.78,0.00,0.81,13.30,1016.80,0.00,0.00,37.00,889.00,3.93,13.30
2026-07-28T14:00:00,35.20,25.00,6.02,0.00,0.85,12.20,1016.90,0.00,0.00,36.00,920.00,4.27,14.20
2026-07-28T15:00:00,35.70,28.00,6.11,0.00,0.84,14.40,1016.50,17.00,0.00,32.00,896.00,4.20,13.60
2026-07-28T16:00:00,35.60,30.00,5.48,0.00,0.75,15.30,1016.20,33.00,0.00,38.00,794.00,4.06,13.00
2026-07-28T17:00:00,35.20,31.00,4.74,0.00,0.63,15.60,1016.20,40.00,0.00,44.00,650.00,3.93,12.60
2026-07-28T18:00:00,34.30,34.00,3.96,0.00,0.47,16.20,1016.40,45.00,0.00,43.00,464.00,3.57,11.70
2026-07-28T19:00:00,33.20,35.00,2.97,0.00,0.31,15.70,1016.70,41.00,0.00,57.00,292.00,3.30,11.30
2026-07-28T20:00:00,31.50,43.00,1.68,0.00,0.14,17.40,1017.60,20.00,0.00,107.00,130.00,2.63,9.30
2026-07-28T21:00:00,29.10,53.00,1.25,0.00,0.04,18.50,1018.20,7.00,0.00,151.00,16.00,1.89,7.10
2026-07-28T22:00:00,27.60,56.00,1.12,0.00,0.02,18.10,1018.70,8.00,0.00,190.00,0.00,1.63,6.40
2026-07-28T23:00:00,26.10,64.00,0.89,0.00,0.01,18.80,1018.70,21.00,0.00,243.00,0.00,1.22,5.00
2026-07-29T00:00:00,25.30,67.00,1.04,0.00,0.01,18.80,1019.00,28.00,0.00,287.00,0.00,1.07,4.50
2026-07-29T01:00:00,24.90,66.00,1.42,0.00,0.02,18.10,1019.30,10.00,0.00,309.00,0.00,1.07,4.60
2026-07-29T02:00:00,24.50,60.00,1.63,0.00,0.03,16.20,1019.60,5.00,0.00,313.00,0.00,1.23,5.50
2026-07-29T03:00:00,24.00,55.00,1.70,0.00,0.03,14.40,1019.50,2.00,0.00,310.00,0.00,1.35,6.10
2026-07-29T04:00:00,23.50,56.00,1.72,0.00,0.03,14.20,1019.30,3.00,0.00,306.00,0.00,1.27,5.90
2026-07-29T05:00:00,23.00,57.00,1.66,0.00,0.03,14.10,1019.10,2.00,0.00,303.00,0.00,1.21,5.70
2026-07-29T06:00:00,22.70,57.00,1.66,0.00,0.03,13.70,1019.20,3.00,0.00,303.00,0.00,1.18,5.70
2026-07-29T07:00:00,22.50,58.00,1.66,0.00,0.03,13.80,1019.90,1.00,0.00,303.00,8.00,1.14,5.50
2026-07-29T08:00:00,24.50,57.00,1.56,0.00,0.09,15.50,1020.30,0.00,0.00,315.00,112.00,1.32,5.90
2026-07-29T09:00:00,28.70,41.00,2.32,0.00,0.25,14.10,1020.30,0.00,0.00,7.00,292.00,2.32,9.10
2026-07-29T10:00:00,29.70,39.00,4.52,0.00,0.44,14.30,1020.30,0.00,0.00,25.00,485.00,2.55,9.70
2026-07-29T11:00:00,30.70,38.00,5.59,0.00,0.58,14.70,1020.20,0.00,0.00,27.00,660.00,2.73,10.10
2026-07-29T12:00:00,31.30,38.00,6.57,0.00,0.69,15.30,1020.20,0.00,0.00,26.00,800.00,2.84,10.20
2026-07-29T13:00:00,32.40,36.00,6.80,0.00,0.77,15.40,1020.00,0.00,0.00,28.00,894.00,3.12,10.80
2026-07-29T14:00:00,32.90,36.00,7.03,0.00,0.80,15.80,1019.70,0.00,0.00,30.00,928.00,3.20,11.00
2026-07-29T15:00:00,33.10,32.00,7.60,0.00,0.81,14.20,1019.30,0.00,0.00,35.00,901.00,3.44,11.90
2026-07-29T16:00:00,32.90,31.00,8.16,0.00,0.77,13.50,1018.70,0.00,0.00,36.00,820.00,3.45,12.10
2026-07-29T17:00:00,32.40,33.00,7.94,0.00,0.67,14.10,1018.40,0.00,0.00,36.00,686.00,3.25,11.50
2026-07-29T18:00:00,31.50,35.00,7.55,0.00,0.55,14.20,1018.30,0.00,0.00,35.00,513.00,3.00,10.90
2026-07-29T19:00:00,30.30,37.00,6.85,0.00,0.41,14.00,1018.30,0.00,0.00,34.00,321.00,2.72,10.20
2026-07-29T20:00:00,28.80,39.00,5.20,0.00,0.25,13.50,1018.60,1.00,0.00,30.00,136.00,2.42,9.50
2026-07-29T21:00:00,27.10,43.00,3.32,0.00,0.12,13.50,1018.80,2.00,0.00,16.00,16.00,2.05,8.50
2026-07-29T22:00:00,26.10,45.00,2.11,0.00,0.06,13.30,1019.40,9.00,0.00,355.00,0.00,1.86,7.90
2026-07-29T23:00:00,24.90,51.00,1.89,0.00,0.05,14.10,1019.50,3.00,0.00,328.00,0.00,1.55,6.80
2026-07-30T00:00:00,23.90,55.00,1.77,0.00,0.04,14.30,1019.40,0.00,0.00,317.00,0.00,1.34,6.10
2026-07-30T01:00:00,23.10,60.00,1.70,0.00,0.03,14.90,1019.20,0.00,0.00,320.00,0.00,1.13,5.30
2026-07-30T02:00:00,22.50,61.00,1.72,0.00,0.03,14.60,1018.90,0.00,0.00,324.00,0.00,1.06,5.10
2026-07-30T03:00:00,22.50,58.00,1.75,0.00,0.03,13.80,1018.80,0.00,0.00,336.00,0.00,1.14,5.50
2026-07-30T04:00:00,22.80,54.00,2.01,0.00,0.04,13.00,1018.50,0.00,0.00,354.00,0.00,1.28,6.10
2026-07-30T05:00:00,22.70,55.00,2.21,0.00,0.05,13.20,1018.20,0.00,0.00,5.00,0.00,1.24,5.90
2026-07-30T06:00:00,22.50,58.00,2.14,0.00,0.04,13.80,1018.20,0.00,0.00,11.00,0.00,1.14,5.50
2026-07-30T07:00:00,22.40,60.00,2.14,0.00,0.04,14.20,1018.40,0.00,0.00,11.00,8.00,1.08,5.30
2026-07-30T08:00:00,24.10,56.00,2.38,0.00,0.11,14.80,1018.70,0.00,0.00,15.00,110.00,1.32,6.00
2026-07-30T09:00:00,26.30,47.00,4.03,0.00,0.27,14.10,1018.70,0.00,0.00,14.00,292.00,1.82,7.60
2026-07-30T10:00:00,27.80,38.00,6.45,0.00,0.46,12.20,1018.30,0.00,0.00,13.00,490.00,2.31,9.50
2026-07-30T11:00:00,28.90,35.00,7.28,0.00,0.59,11.90,1018.10,0.00,0.00,13.00,671.00,2.59,10.30
2026-07-30T12:00:00,29.80,33.00,7.64,0.00,0.70,11.80,1017.60,0.00,0.00,14.00,815.00,2.81,10.90
2026-07-30T13:00:00,30.70,32.00,7.98,0.00,0.77,12.10,1017.30,0.00,0.00,15.00,909.00,3.00,11.40
2026-07-30T14:00:00,31.10,34.00,8.38,0.00,0.80,13.40,1016.90,0.00,0.00,20.00,945.00,2.98,11.00
2026-07-30T15:00:00,31.20,34.00,8.34,0.00,0.79,13.50,1016.60,0.00,0.00,23.00,918.00,3.00,11.00
2026-07-30T16:00:00,31.20,33.00,8.05,0.00,0.74,13.10,1016.00,0.00,0.00,25.00,836.00,3.05,11.20
2026-07-30T17:00:00,30.80,32.00,7.87,0.00,0.66,12.20,1015.60,0.00,0.00,26.00,702.00,3.02,11.40
2026-07-30T18:00:00,30.00,33.00,7.52,0.00,0.54,12.00,1015.30,0.00,0.00,25.00,528.00,2.85,11.00
2026-07-30T19:00:00,29.00,33.00,6.80,0.00,0.41,11.10,1015.20,0.00,0.00,24.00,331.00,2.69,10.70
2026-07-30T20:00:00,27.70,37.00,5.37,0.00,0.25,11.70,1015.50,0.00,0.00,24.00,141.00,2.34,9.70
2026-07-30T21:00:00,26.10,38.00,3.70,0.00,0.13,10.70,1015.80,0.00,0.00,19.00,16.00,2.09,9.20
2026-07-30T22:00:00,25.20,37.00,2.98,0.00,0.10,9.50,1016.10,0.00,0.00,14.00,0.00,2.02,9.20
2026-07-30T23:00:00,24.50,38.00,2.31,0.00,0.08,9.20,1015.90,0.00,0.00,5.00,0.00,1.90,8.90
2026-07-31T00:00:00,24.00,34.00,2.41,0.00,0.09,7.20,1015.80,0.00,0.00,355.00,0.00,1.97,9.40
2026-07-31T01:00:00,23.80,34.00,3.01,0.00,0.11,7.00,1015.60,0.00,0.00,354.00,0.00,1.94,9.40
2026-07-31T02:00:00,24.10,39.00,3.70,0.00,0.12,9.30,1015.40,0.00,0.00,2.00,0.00,1.83,8.60
2026-07-31T03:00:00,24.00,42.00,3.81,0.00,0.12,10.30,1015.30,0.00,0.00,5.00,0.00,1.73,8.10
2026-07-31T04:00:00,24.00,44.00,3.70,0.00,0.10,11.00,1014.90,0.00,0.00,2.00,1.00,1.67,7.80
